fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
174874,FUL,Andersen,D,3.0,3.43,7.04,2.74,6.85,3.89,3.25,3.23,3.14,2.95,4.46,4.07,5.5,50.54,16.85
516939,WOL,Agbadou,D,3.0,3.17,5.76,4.61,4.81,4.72,3.33,3.85,5.01,5.33,3.5,2.64,3.76,50.48,16.83
210462,NFO,Sangaré,M,2.5,3.15,2.99,3.33,2.82,6.18,5.15,5.61,5.17,2.62,5.32,2.94,5.19,50.46,20.18
469142,BHA,Van Hecke,D,3.0,4.59,7.17,3.13,5.53,4.06,2.79,4.04,3.63,3.54,4.66,3.27,3.82,50.23,16.74
491279,TOT,Van de Ven,D,3.5,4.87,1.77,3.13,5.6,4.52,6.05,3.36,5.37,3.27,4.83,3.16,4.29,50.21,14.35
444180,BUR,Anthony,M,2.5,4.15,8.33,3.75,6.25,3.8,3.2,3.32,3.69,3.52,3.0,3.62,3.37,50.0,20.0
111234,EVE,Pickford,G,3.5,4.06,6.34,3.88,5.8,2.86,4.19,3.94,2.95,3.83,4.32,4.16,3.57,49.91,14.26
432830,BRE,Collins,D,3.0,3.89,8.07,5.1,6.44,3.49,3.97,2.89,3.72,2.69,3.09,3.38,3.13,49.85,16.62
510362,WOL,Toti,D,3.0,2.86,7.03,4.39,5.75,4.43,3.09,3.49,4.63,5.03,3.21,2.36,3.34,49.6,16.53
463067,BHA,Georginio,M,3.5,4.25,6.35,3.64,5.48,4.21,3.24,3.62,3.65,3.48,3.98,3.34,3.78,49.02,14.01
80201,FUL,Leno,G,3.0,3.34,6.31,3.12,6.12,3.89,3.28,3.34,3.53,3.03,4.24,3.88,4.66,48.76,16.25
201658,BOU,Tavernier,M,2.5,3.48,7.63,3.94,6.38,3.53,3.6,3.49,3.3,3.51,2.92,3.22,3.69,48.69,19.47
102057,FUL,Raúl,F,3.5,3.39,6.51,3.17,6.55,3.96,3.44,3.41,2.9,3.5,3.77,3.38,4.71,48.68,13.91
493250,MUN,Amad,M,4.0,3.08,6.8,4.2,5.59,3.47,3.6,4.59,3.12,3.49,3.36,3.85,3.47,48.62,12.16
512462,EVE,O'Brien,D,3.0,4.3,6.24,3.88,5.58,2.22,4.3,3.67,2.46,3.75,4.81,3.9,3.37,48.48,16.16
219847,ARS,Havertz,F,4.5,2.4,3.88,2.59,5.81,5.32,5.22,3.0,4.86,2.57,4.87,2.93,5.01,48.47,10.77
535818,SUN,Adingra,M,3.0,4.21,7.11,3.88,5.96,3.51,3.45,3.46,3.73,3.13,3.52,3.07,3.32,48.36,16.12
158534,WHU,Walker-Peters,D,2.5,4.43,6.43,3.56,6.67,3.46,3.61,2.44,3.42,3.65,3.07,4.55,3.01,48.28,19.31
214048,WHU,Kilman,D,3.0,4.78,6.76,3.33,6.38,3.4,3.61,2.21,3.28,3.61,2.98,4.81,2.8,47.94,15.98
215439,WHU,Souček,M,3.5,4.33,6.7,3.31,6.35,3.39,3.29,2.91,3.57,3.46,3.46,3.86,3.25,47.89,13.68
167074,FUL,Tete,D,3.0,3.35,7.59,2.72,6.81,3.45,3.03,2.98,2.94,2.86,3.85,3.55,4.64,47.78,15.93
242898,TOT,Johnson,M,4.5,3.32,2.36,2.74,5.7,5.08,6.28,2.87,5.68,2.61,5.04,2.31,3.49,47.47,10.55
