fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
460842,TOT,Kudus,M,9.6,0.0,4.53,0.0,0.0,0.0,3.97,3.8,0.0,0.0,4.04,0.0,0.0,2.93,0.0,3.71,0.0,3.29,0.0,0.0,3.96,0.0,0.0,0.0,3.53,0.0,3.35,0.0,0.0,3.31,40.43,4.21
232826,NEW,Gordon,M,10.1,3.98,0.0,0.0,0.0,4.1,0.0,0.0,3.99,0.0,0.0,3.47,3.12,0.0,0.0,3.11,0.0,3.64,0.0,0.0,3.9,0.0,0.0,0.0,3.79,0.0,3.68,0.0,0.0,3.65,40.41,4.0
486672,CHE,Caicedo,M,8.1,1.92,0.0,0.0,0.0,5.54,0.0,3.73,0.0,0.0,3.97,0.0,4.6,0.0,0.0,0.0,2.98,0.0,3.9,0.0,3.07,0.0,0.0,3.87,0.0,0.0,3.21,0.0,0.0,3.23,40.02,4.94
424876,LIV,Szoboszlai,M,8.6,0.0,3.82,0.0,0.0,3.65,0.0,3.56,0.0,0.0,0.0,2.94,3.52,0.0,0.0,0.0,3.52,0.0,4.33,0.0,3.43,0.0,0.0,3.44,0.0,0.0,3.75,0.0,0.0,3.97,39.93,4.64
243016,LIV,Mac Allister,M,9.5,0.0,3.66,0.0,0.0,3.47,0.0,3.4,0.0,0.0,0.0,2.97,3.37,0.0,0.0,0.0,3.55,0.0,4.61,0.0,3.44,0.0,0.0,3.51,0.0,0.0,3.9,0.0,0.0,3.93,39.82,4.19
221466,BOU,Senesi,D,6.8,3.2,0.0,0.0,0.0,0.0,4.39,0.0,2.2,0.0,0.0,3.1,4.22,0.0,0.0,4.92,0.0,4.17,0.0,0.0,2.85,0.0,0.0,0.0,0.0,2.84,4.91,0.0,0.0,2.99,39.8,5.85
244850,AVL,Rogers,M,8.7,0.0,4.06,0.0,0.0,0.0,3.56,3.26,0.0,0.0,0.0,3.78,0.0,3.76,0.0,0.0,3.93,0.0,3.42,0.0,3.0,0.0,0.0,0.0,3.71,0.0,0.0,3.78,0.0,3.25,39.51,4.54
489639,BHA,Verbruggen,G,7.5,3.56,0.0,0.0,0.0,3.1,0.0,4.57,0.0,0.0,0.0,2.97,3.84,0.0,0.0,0.0,3.73,0.0,3.83,0.0,0.0,4.17,0.0,2.39,0.0,0.0,4.78,0.0,0.0,2.56,39.49,5.27
177815,LEE,Calvert-Lewin,F,6.6,4.32,0.0,0.0,4.2,0.0,0.0,3.44,0.0,0.0,0.0,3.48,0.0,3.59,0.0,3.01,0.0,0.0,3.26,0.0,3.13,0.0,0.0,0.0,3.53,0.0,0.0,3.38,0.0,3.84,39.18,5.94
84182,WHU,Areola,G,7.2,0.0,0.0,3.92,3.93,0.0,0.0,0.0,3.5,0.0,4.9,0.0,3.18,0.0,0.0,0.0,3.17,0.0,0.0,3.09,0.0,3.07,0.0,0.0,3.77,0.0,2.61,0.0,0.0,4.01,39.15,5.44
